	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	390.049853979901	0.122429213587813	0.380848617654783	0.321464245667258	0.747858603345021	0.956513487612738
Lypla1	649.54301556428	0.563555048314001	0.562113200066619	1.00256504961494	0.316070766075089	0.876400962117835
Tcea1	1181.33486145089	0.784490196458702	0.417885691755189	1.87728417588004	0.0604791558570318	0.870164242642467
Rgs20	194.399331462853	-0.0315477941186238	0.631113032237453	-0.0499875497845116	0.960132309751524	0.997604451490869
Atp6v1h	1249.53833299395	-0.118501415313023	0.601286206306728	-0.197079883207189	0.843765025569955	0.976510985719629
Rb1cc1	1570.73477924703	0.12331534673177	0.396790923138932	0.310781672514702	0.755966603448997	0.957587403834429
Pcmtd1	711.476210258378	0.526735686996815	0.42095905657047	1.25127534085643	0.210834038927748	0.870164242642467
Rrs1	769.949451039652	-0.322918517756615	0.512991449219371	-0.629481287159866	0.529034015825605	0.906574681787627
2610203C22Rik	16.3016154429442	-0.787370740565737	1.70850470467407	-0.460853715188302	0.644903560696723	0.936753294497306
Mybl1	625.806228312003	-0.995958113471486	0.584332944221133	-1.70443601258699	0.0882996607816488	0.870164242642467
Vcpip1	1210.28967991758	0.266363509313784	0.34923591783224	0.762703650206264	0.445640153174298	0.895149048808418
Sgk3	177.973754042712	0.595955142035631	0.695992653486707	0.85626642616137	0.391850427524613	0.888440172366417
Snhg6	197.178278210214	-0.253940577869539	0.378840928431157	-0.670309248056036	0.502660672934521	0.901046643803278
Cops5	748.477623693744	-0.0124635470280537	0.223737883661762	-0.0557060200269686	0.95557600366372	0.997604451490869
Cspp1	640.265089560607	-0.249416654234393	0.360858502099256	-0.69117577328354	0.489455086685932	0.899662518963245
Arfgef1	2418.63602843388	0.00655625047197292	0.2209667852901	0.0296707510287822	0.976329638945058	0.997604451490869
Cpa6	37.1342653811173	1.409017079129	1.32217293430497	1.06568289409864	0.286567012873213	0.871929322343418
Prex2	661.658186041608	0.900226473004048	0.803342420170343	1.12060119122449	0.262457657729973	0.87178783836001
Ncoa2	1177.38293717598	-0.0918605219595223	0.246712463754567	-0.372338391670825	0.709640917729801	0.9474616200793
Tram1	442.457926000087	-0.205004323251817	0.309255928353051	-0.662895370651653	0.507397566828558	0.901078548023868
Lactb2	601.612657108832	1.12968285278402	0.547587867375079	2.06301658617688	0.0391110523576083	0.870164242642467
Gm5523	10.9205793825687	0.0870968729220382	0.976976504885643	0.0891494037845189	0.92896317512351	0.99423110289726
Eya1	59.3937876444596	0.301894297454313	0.516043344486481	0.585017325927789	0.558536066892172	0.917090715317062
Terf1	332.295988893469	-0.075498498801057	0.319620866853778	-0.236212671419844	0.813267647334385	0.971199230287285
Rpl7	1157.91394841511	-0.0673665556371279	0.166806363116474	-0.403860826280881	0.686315064404419	0.943276463211557
Rdh10	235.762492538969	-0.315868373614364	0.391709192104643	-0.806384889558531	0.420020956840214	0.892542406351203
Stau2	413.052684184511	0.642866839928474	0.423734917675355	1.51714388669052	0.12923035994312	0.870164242642467
Ube2w	542.053661445088	0.723040346905486	0.440580849777909	1.64110706870251	0.100775191679251	0.870164242642467
Tceb1	461.375016400549	0.124876183265872	0.191819694072059	0.651008145279186	0.515041228921845	0.903057636024201
Tmem70	327.52508544714	0.545959680467903	0.338947502897367	1.61074997101607	0.10723422929607	0.870164242642467
Ly96	99.2376220319023	-0.249714825508504	0.615265746773806	-0.405864988938362	0.68484180405915	0.94272471982446
Jph1	137.110072215929	0.0422065322188224	0.768707169561324	0.0549058651851892	0.956213459187691	0.997604451490869
Mcm3	975.878956489165	0.205395939478808	0.806413801888407	0.2547029068672	0.798952570924352	0.966108633612903
Paqr8	20.0884173442467	-0.943489264642817	1.59497526947709	-0.591538491347355	0.554159672684594	0.915177020149219
Tram2	81.0892526168191	0.879202566385419	1.17311118877605	0.749462263080726	0.453578635484893	0.895922597898169
Ogfrl1	253.233516732368	0.0427025129188621	0.831518462653165	0.0513548584148201	0.959042755043042	0.997604451490869
B3gat2	20.5803939138708	-0.586456301215554	0.977648316658901	-0.599864277596018	0.548596691271223	0.913468928434677
Smap1	701.085698377966	0.140957946336628	0.249602457798135	0.564729801060804	0.572257561010714	0.918571089491442
Sdhaf4	14.7849942556712	0.949582640168044	1.49461735752104	0.635334947362725	0.525209985526591	0.905014061890518
Fam135a	1312.70916145921	0.526409009469138	0.374262802958037	1.40652238295816	0.159569062878962	0.870164242642467
Lmbrd1	986.901256412656	0.532709402956871	0.616333817536036	0.864319607005378	0.387412342169348	0.888440172366417
Phf3	3217.54483121271	-0.319834881050939	0.55651861299158	-0.574706530176337	0.565489790290208	0.917163688486314
Ptp4a1	89.9520602107482	0.21262711026031	0.419276928578515	0.507128095459928	0.612064942885231	0.927453218519482
Prim2	385.497828429135	0.2642285552393	0.693588410342581	0.380958723212792	0.703233877201147	0.945683472632631
Rab23	521.909499817156	0.392375388387507	0.496081610528911	0.790949271369212	0.428973594575477	0.893086251348704
Bag2	371.709481103655	0.452093111896135	0.563727005917403	0.801971711751512	0.422569321929637	0.892542406351203
Zfp451	894.83809146963	-0.067702076430066	0.427550534214475	-0.158348712052139	0.874182025635013	0.984854772519265
Gm15455	75.2812268321989	0.571080760607408	0.537938044037125	1.0616106574682	0.288412473475834	0.871960475740929
Bend6	155.527181201844	-0.0670844928753086	1.22729816885671	-0.054660305521193	0.956409093663717	0.997604451490869
Dst	6785.47299239486	0.960602894718783	0.501547074664701	1.91527962826017	0.0554568521726737	0.870164242642467
Ccdc115	248.692548363176	-0.366001924191781	0.540774919117874	-0.676810094648644	0.498526452495082	0.900368640545525
Imp4	680.625656804868	-0.0615480032352003	0.277737134030905	-0.221605236368399	0.824621205813051	0.972940580793555
Arhgef4	30.4042945558546	-2.70747623054788	1.93269440802843	-1.40088170137038	0.161249451568242	0.870164242642467
Fam168b	2155.01349575351	-0.0712543484677715	0.225332354934748	-0.316218895810171	0.751836366287325	0.956577884632454
Plekhb2	988.670259411432	-0.12744874095448	0.183202914350431	-0.695669833672489	0.486635621463221	0.899147809893361
Hs6st1	762.675307875894	-0.0808187810867968	0.278273058137071	-0.290429772928242	0.771487469286414	0.960342381645822
Uggt1	1983.69961671188	0.815938746002919	0.471276603586257	1.73133726519394	0.0833916286393669	0.870164242642467
Arid5a	269.682626572167	1.21560618000536	0.773916113762589	1.57072085512651	0.116247502773232	0.870164242642467
Kansl3	1414.97218823013	-0.454822123642585	0.339244716202385	-1.34069036869317	0.180021002889383	0.870164242642467
Fer1l5	121.393662283548	-0.402922549233527	0.604035863982835	-0.667050705527275	0.50473974561044	0.901046643803278
Lman2l	280.557804676398	0.457076290092221	0.439121905159359	1.04088701729955	0.297927987815908	0.872531506339689
Cnnm4	322.42637747415	0.271521276453573	0.494661436134337	0.548903263160048	0.583071838668173	0.91990296659019
Cnnm3	319.142484557056	-0.283606783165061	0.243639966647625	-1.16404047770717	0.24440760837472	0.870164242642467
Ankrd23	133.405546555986	-0.521707970276899	0.952838302770301	-0.547530434870297	0.584014367087042	0.91990296659019
Ankrd39	94.6861240485144	0.315720717499097	0.479291315300402	0.658724052408951	0.510072984782798	0.901078548023868
Sema4c	117.478425829085	0.290629480085632	0.395003308294156	0.735764673315603	0.461873923521455	0.896546696567339
Cox5b	394.387596416306	0.0183912810168206	0.193902069280276	0.0948482967978897	0.924435324462385	0.99297948206513
Actr1b	949.709282964709	0.0771162611978541	0.299198313063844	0.257742967893668	0.79660528254582	0.965509647936333
Tmem131	2591.69597183656	-0.0054247386369	0.218910823893926	-0.024780586635262	0.980229975924533	0.997604451490869
Cnga3	140.240032762204	-2.50252757029101	0.994878322857046	-2.51541069173602	0.0118893795484478	0.870164242642467
Inpp4a	669.564062770099	-0.220799025356507	0.441300609857532	-0.50033700480901	0.616837802031356	0.928630220816476
Coa5	1299.65905610722	0.0688730118570598	0.217784716379127	0.316243550062363	0.751817654438644	0.956577884632454
Unc50	386.127500908387	0.0253756848848607	0.431135746863563	0.0588577613187132	0.953065401278518	0.997604451490869
4930594C11Rik	11.4129688519024	0.480107163750112	0.993615967117441	0.483191876578777	0.628959502745202	0.930710501216307
Tsga10	32.6778307688573	0.101596505494584	0.869586611026565	0.116833106911164	0.906992307880063	0.992013640087688
Lipt1	68.191605748787	0.705666912479037	0.763668525424148	0.924048705669916	0.355460957815196	0.881529875447314
Mitd1	199.165785183638	0.449163611049063	0.399667166478021	1.1238441601476	0.261079143686924	0.87178783836001
Mrpl30	456.968698750402	-0.373676886438233	0.300740399470925	-1.24252307669878	0.214043631573127	0.870164242642467
Txndc9	956.367897237007	-0.0780634457170023	0.361137159525675	-0.216160103323437	0.828862951274597	0.973925699873054
