	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	390.049853979901	0.00758870556189978	0.382040402534015	0.0198636204746018	0.984152166071108	0.999986223059718
Lypla1	649.54301556428	0.33682168725159	0.562899408458097	0.598369232922482	0.549593590321925	0.999986223059718
Tcea1	1181.33486145089	0.124551697531114	0.418848903647512	0.297366655245997	0.766186598135032	0.999986223059718
Rgs20	194.399331462853	0.152783982751833	0.630521540341038	0.242313660956285	0.80853712923629	0.999986223059718
Atp6v1h	1249.53833299395	0.0454120560696749	0.601237016990025	0.0755310381536743	0.939792203186037	0.999986223059718
Rb1cc1	1570.73477924703	0.251814796624513	0.39676489104353	0.634670058538234	0.525643625394615	0.999986223059718
Pcmtd1	711.476210258378	0.312849478426054	0.42169025879681	0.741894013199861	0.458151553398235	0.999986223059718
Rrs1	769.949451039652	-0.215646110601252	0.5129837050378	-0.420376141548905	0.67421069447183	0.999986223059718
2610203C22Rik	16.3016154429442	-0.269943867122384	1.68293369984028	-0.160400773451743	0.872565380381834	0.999986223059718
Mybl1	625.806228312003	0.207610714274845	0.58161780479401	0.356953849355375	0.721126355588579	0.999986223059718
Vcpip1	1210.28967991758	0.309490931689535	0.349321143604928	0.885978239094397	0.375629253518325	0.999986223059718
Sgk3	177.973754042712	0.636944787124785	0.69644397141507	0.914567162998924	0.360418903905077	0.999986223059718
Snhg6	197.178278210214	-0.151550385373925	0.378840928502497	-0.40003699170779	0.689129271098096	0.999986223059718
Cops5	748.477623693744	0.0519825782979242	0.223891054260676	0.232178004921095	0.816399760546158	0.999986223059718
Cspp1	640.265089560607	0.0859303496377326	0.360166484354334	0.238585080429621	0.81142733517028	0.999986223059718
Arfgef1	2418.63602843388	0.227528393762892	0.220813672411989	1.03040899269306	0.302818053587175	0.999986223059718
Cpa6	37.1342653811173	0.274368987776886	1.35415584617349	0.2026125637992	0.839437869191405	0.999986223059718
Prex2	661.658186041608	0.0782145555656436	0.805180779573577	0.0971391239704777	0.922615911324144	0.999986223059718
Ncoa2	1177.38293717598	0.0767409061633098	0.246559205005195	0.311247378339385	0.755612567740693	0.999986223059718
Tram1	442.457926000087	0.17027646035017	0.307761452006337	0.553274164909595	0.580075688924697	0.999986223059718
Lactb2	601.612657108832	0.116113559582737	0.549808650962306	0.211189037094103	0.832739764970687	0.999986223059718
Gm5523	10.9205793825687	0.189487024612511	0.97697650812251	0.193952488148005	0.84621308434691	0.999986223059718
Eya1	59.3937876444596	0.112103769363253	0.523534296348237	0.214128797569138	0.830446619362703	0.999986223059718
Terf1	332.295988893469	0.166694328678713	0.318563986412273	0.523267964329726	0.600787791159295	0.999986223059718
Rpl7	1157.91394841511	0.00298981565748537	0.166924630662937	0.0179111713209212	0.985709717018979	0.999986223059718
Rdh10	235.762492538969	0.093803113620615	0.38912660108834	0.241060655730703	0.809508105836984	0.999986223059718
Stau2	413.052684184511	0.306843231713241	0.425559399329068	0.721035024010764	0.470887966171739	0.999986223059718
Ube2w	542.053661445088	-0.00178812482140274	0.442750136576638	-0.00403867706338521	0.996777610685077	0.999986223059718
Tceb1	461.375016400549	0.112807658772445	0.192766431211587	0.585203855585332	0.558410652713068	0.999986223059718
Tmem70	327.52508544714	0.188444878587973	0.341959742425494	0.551073284976027	0.581583437978821	0.999986223059718
Ly96	99.2376220319023	-0.0195691222754846	0.613937071188783	-0.0318748014964994	0.974571893918732	0.999986223059718
Jph1	137.110072215929	-0.0384693451340946	0.769655611686712	-0.0499825435557969	0.960136299157234	0.999986223059718
Mcm3	975.878956489165	0.210320328306402	0.806564870913857	0.260760585900678	0.79427714099347	0.999986223059718
Paqr8	20.0884173442467	-0.841099203972363	1.59497527847336	-0.527343097616802	0.597955350820646	0.999986223059718
Tram2	81.0892526168191	-0.585446805908665	1.19467994424385	-0.490044893387085	0.624102131512789	0.999986223059718
Ogfrl1	253.233516732368	0.232555488708855	0.831058209279606	0.279830565551411	0.779607500212528	0.999986223059718
B3gat2	20.5803939138708	-0.346562699410761	0.972797773873759	-0.356253590127699	0.721650661919654	0.999986223059718
Smap1	701.085698377966	0.123832906057122	0.250049395870529	0.495233774214918	0.620435112496081	0.999986223059718
Sdhaf4	14.7849942556712	0.899969776359259	1.50233390773204	0.599047769425557	0.549141030038251	0.999986223059718
Fam135a	1312.70916145921	0.209944354970492	0.374792833916041	0.560161070255475	0.575369577988634	0.999986223059718
Lmbrd1	986.901256412656	0.0888910027077188	0.616831453290988	0.144109062910877	0.88541434825852	0.999986223059718
Phf3	3217.54483121271	0.033992607799843	0.556430999885718	0.0610904277562258	0.951287192457278	0.999986223059718
Ptp4a1	89.9520602107482	0.129985423103667	0.422410171586579	0.307723231700221	0.758292940626129	0.999986223059718
Prim2	385.497828429135	0.14585010449941	0.694426090175495	0.210029701595099	0.833644491494938	0.999986223059718
Rab23	521.909499817156	0.0343675993881207	0.497487850297948	0.0690822888790909	0.944924118771438	0.999986223059718
Bag2	371.709481103655	0.0576966845253573	0.565848675495493	0.101964866268944	0.918784562349116	0.999986223059718
Zfp451	894.83809146963	0.102658835009469	0.427437938399096	0.240172492394947	0.810196537536425	0.999986223059718
Gm15455	75.2812268321989	0.439005723053647	0.542188702278317	0.809691757148226	0.418117356675094	0.999986223059718
