	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	390.049853979901	-0.580040977045004	0.378883495615604	-1.5309217312371	0.125788737702028	0.584674039791695
Lypla1	649.54301556428	-0.768392727936342	0.560230135798889	-1.37156621687374	0.170198516693398	0.584674039791695
Tcea1	1181.33486145089	-0.0337273183642611	0.418438905015718	-0.0806027306734161	0.935757894510299	0.968333190384959
Rgs20	194.399331462853	-0.79902816943032	0.624860665102451	-1.2787301458627	0.20099210011498	0.584674039791695
Atp6v1h	1249.53833299395	1.13268487923501	0.602334003134827	1.88049300444602	0.0600409188909362	0.584674039791695
Rb1cc1	1570.73477924703	0.779925204658168	0.39732396866312	1.96294526927834	0.049652533873719	0.584674039791695
Pcmtd1	711.476210258378	0.059527354215445	0.420713494919214	0.141491430473072	0.887481729430464	0.943301354648963
Rrs1	769.949451039652	0.660419621564473	0.514324918608719	1.28405138010997	0.199123978319238	0.584674039791695
2610203C22Rik	16.3016154429442	-2.39854138057376	1.63352999463503	-1.46831793015815	0.142017882732551	0.584674039791695
Mybl1	625.806228312003	0.459863804975932	0.581904116539612	0.790274191065337	0.429367656016163	0.676066245993686
Vcpip1	1210.28967991758	0.641449038563915	0.349754066081262	1.83400023265171	0.0666539596157436	0.584674039791695
Sgk3	177.973754042712	-0.78529937124635	0.685758685303173	-1.14515410169274	0.252145327544971	0.58592118479462
Snhg6	197.178278210214	0.253997389869007	0.381631072559131	0.66555741430004	0.505694033966557	0.723389893492195
Cops5	748.477623693744	0.264346223920943	0.224350535483447	1.17827320247447	0.238687707440636	0.585438304654083
Cspp1	640.265089560607	0.384347692330717	0.360749691719935	1.06541377900636	0.28668872408953	0.596824112910827
Arfgef1	2418.63602843388	0.287735767035818	0.220753237426113	1.30342716777653	0.19242896639618	0.584674039791695
Cpa6	37.1342653811173	-2.18635762594632	1.29985011820854	-1.68200748326243	0.0925673888325659	0.584674039791695
