""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mrpl15"	389.600640616364	0.00895102292105006	0.381859543089113	0.0234406160145674	0.981298807002594	0.999985483486012
"Lypla1"	648.893206465923	0.338184016857416	0.570660371187219	0.592618716722605	0.553436350273245	0.999985483486012
"Tcea1"	1181.02164182668	0.125914078558397	0.436453897435679	0.288493422325214	0.772969064812169	0.999985483486012
"Rgs20"	194.119031113964	0.154146258771268	0.619322597466349	0.248894936825947	0.803442051910331	0.999985483486012
"Atp6v1h"	1248.08244764306	0.0467744721211776	0.614190968436257	0.0761562356416057	0.939294800424624	0.999985483486012
"Rb1cc1"	1569.10353289308	0.253177164551081	0.408337165136697	0.620019890832926	0.535244691532385	0.999985483486012
"Pcmtd1"	711.023756866134	0.31421182561281	0.432504735741476	0.726493376018491	0.467536366781779	0.999985483486012
"Sntg1"	6.90821482170298	1.05328450419408	2.5534605126004	0.412492967483345	0.67997813420089	0.999985483486012
"Rrs1"	768.912523046102	-0.214283749447006	0.519408545606624	-0.412553376835071	0.679933866076147	0.999985483486012
"Adhfe1"	6.74401935788974	0.178886726490652	1.47508282901943	0.121272326523907	0.903475338450357	0.999985483486012
"2610203C22Rik"	16.2693679180484	-0.268581786470647	1.60342397882471	-0.167505157723483	0.866972589589085	0.999985483486012
"3110035E14Rik"	7.77825460572601	-0.946671099857761	2.85339605817417	-0.331769961322339	0.740062968145417	0.999985483486012
"Mybl1"	624.430772327472	0.208973030181217	0.582096916948109	0.359000407143277	0.719594784694233	0.999985483486012
"Vcpip1"	1209.16541500071	0.310853288553653	0.360390009772358	0.862546907862416	0.388386631898464	0.999985483486012
"1700034P13Rik"	2.10832996634477	-0.9466417115768	2.56082022979018	-0.369663477570374	0.711633247736322	0.999985483486012
"Sgk3"	177.757339276799	0.638307097960881	0.684987860985739	0.93185169302463	0.351413175465056	0.999985483486012
"Mcmdc2"	1.62019535778446	1.05337648594498	2.82679672332233	0.372639630311637	0.709416673136683	0.999985483486012
"Snhg6"	196.905712262987	-0.150188110634425	0.366791650959876	-0.409464365509384	0.682198912491674	0.999985483486012
"Snord87"	9.64031357866206	0.401277839799928	1.60307553999841	0.250317486473735	0.802341834588011	0.999985483486012
"Tcf24"	0.572721209285804	-2.38927302506564	4.10121735600149	-0.582576541955115	0.56017840079502	0.999985483486012
"Ppp1r42"	3.84760393487521	-0.168975976496437	2.84054162543889	-0.0594872382728517	0.952564029859589	0.999985483486012
"Cops5"	747.592715372424	0.0533449058029979	0.227058920152242	0.234938604337722	0.814256386075833	0.999985483486012
"Cspp1"	639.1598656305	0.0872926687703431	0.360361249316881	0.242236558275396	0.808596869013551	0.999985483486012
"Arfgef1"	2415.57513990639	0.228890731267817	0.227987035027037	1.00396380540092	0.315396059907858	0.999985483486012
"Cpa6"	37.1088246773884	0.275731674247654	1.30462685224217	0.211349071785372	0.83261489387736	0.999985483486012
"Prex2"	661.105721793757	0.079576879646493	0.816331933400299	0.0974810323969912	0.922344396440113	0.999985483486012
"Sulf1"	0.553262222462591	-2.38927341130473	4.09162020225726	-0.583943106446346	0.559258590191172	0.999985483486012
"Prdm14"	6.57675012138881	-0.157936382423346	3.70377289920083	-0.0426420265825219	0.965986893573138	0.999985483486012
"Ncoa2"	1175.94871765634	0.078103240486339	0.251743996613045	0.310248671416746	0.756371860793877	0.999985483486012
"Tram1"	441.781831555748	0.171638765612367	0.302425943857932	0.567539819576445	0.5703474808988	0.999985483486012
"Lactb2"	601.676570958	0.117475920024992	0.563966101461156	0.208303158151932	0.834992265883552	0.999985483486012
"Xkr9"	0.580364925717515	0.0532023373067602	5.1532353707179	0.0103240650735789	0.991762734203301	0.999985483486012
"Gm5523"	10.907000758365	0.190849153148347	0.901130250817176	0.21178864317925	0.832271928981918	0.999985483486012
"Eya1"	59.3337722462159	0.113466033703992	0.49310837142466	0.230103645119982	0.818011232492392	0.999985483486012
"Terf1"	331.818842822349	0.168056633382733	0.311898199360703	0.538818863742076	0.590011846151746	0.999985483486012
"Sbspon"	7.07426612519851	-1.32515501180371	1.44411057775047	-0.917627107106951	0.358814121370936	0.999985483486012
"Rpl7"	1156.34172266686	0.00555689612173411	0.169137972323143	0.0328542198148	0.973790840364115	0.999985483486012
"Rdh10"	235.374140572056	0.095165392743389	0.376653611018233	0.25266024261953	0.800530773001956	0.999985483486012
"Stau2"	412.786750606368	0.308205560180667	0.431262939588268	0.714658116635097	0.474820324066984	0.999985483486012
"Ube2w"	541.927757185342	-0.000425764213930933	0.454688705463186	-0.000936386166657059	0.999252872043858	0.999985483486012
"Tceb1"	460.853553217353	0.114169980163462	0.193333886095493	0.590532691755183	0.554833575023704	0.999985483486012
"D030040B21Rik"	0.579429360931866	2.49590666026406	4.10474414675163	0.608054137123078	0.543151568759873	0.999985483486012
"Tmem70"	327.274762265397	0.189807202333281	0.344827317110884	0.550441316319049	0.582016716879547	0.999985483486012
"Ly96"	99.1009200835833	-0.0182069524367027	0.589346574268602	-0.030893455958912	0.975354508822104	0.999985483486012
"Jph1"	137.011323416072	-0.0371071735149912	0.753612848238735	-0.0492390404459189	0.960728799207404	0.999985483486012
"Defb41"	1.08113651416795	2.49584298736767	4.85420092452755	0.514161450292787	0.607139117309166	0.999985483486012
"Pkhd1"	1.41233887039405	0.053163054975336	5.34388749415399	0.00994838589575367	0.99206246741919	0.999985483486012
"Mir206"	0.274542480435477	0.0531629886899106	7.06685096126862	0.00752286824517478	0.99399767618974	0.999985483486012
"Il17f"	0.851265687637468	-0.946568638573391	3.60047315393399	-0.262901179401696	0.792626747250622	0.999985483486012
"Mcm3"	974.470135370928	0.211682664665492	0.819531975845589	0.258297016961515	0.796177688296588	0.999985483486012
"Paqr8"	20.057538205119	-0.83973722868637	1.52358422822358	-0.551159045316097	0.581524652151372	0.999985483486012
"Efhc1"	1.01683494749533	-1.53154314328655	3.10284787636259	-0.493592726525138	0.621593838587497	0.999985483486012
"Tram2"	81.0335509068576	-0.584084556204138	1.16536938344771	-0.501201219544777	0.616229516103879	0.999985483486012
"Gsta3"	2.71626988613535	0.0531517335559393	4.75457364026847	0.0111790746294841	0.991080574728763	0.999985483486012
"4933415F23Rik"	0.276170499914349	-2.38900872708031	6.91816610829234	-0.345323990445499	0.729850812935946	0.999985483486012
"Ogfrl1"	252.853777865202	0.233917780083311	0.825155513135084	0.28348326631736	0.776806407329941	0.999985483486012
"B3gat2"	20.5415414873322	-0.34520104910967	0.898857332730192	-0.384044315532428	0.700945602240646	0.999985483486012
"Smap1"	700.373382925628	0.125195241659389	0.256567751559416	0.487961721215757	0.625576954843495	0.999985483486012
"Sdhaf4"	14.7640086446742	0.901332932602843	1.42490317212178	0.632557320551611	0.527022765389153	0.999985483486012
"Fam135a"	1311.81059800075	0.211306722820737	0.389056982109533	0.543125384037566	0.587043476381141	0.999985483486012
"Col19a1"	0.604675276767249	3.49577663385331	6.32145382514277	0.553002004056299	0.580262037883553	0.999985483486012
"Lmbrd1"	986.56363165497	0.090253424544722	0.632797052772716	0.14262617714362	0.886585422464571	0.999985483486012
"4931408C20Rik"	0.724841471641443	-2.38928146036224	4.07165566337765	-0.586808330049257	0.557332441619802	0.999985483486012
"Gm597"	0.531738400296236	0.0531457971710549	6.69978141816071	0.00793246732303769	0.993670873169647	0.999985483486012
"Phf3"	3213.02519376664	0.035355046791554	0.57133892885051	0.0618810394430599	0.950657566888971	0.999985483486012
"Ptp4a1"	89.8706850312925	0.131347684544508	0.401701016204032	0.326978721103843	0.743683979485292	0.999985483486012
"Khdrbs2"	0.440491041985803	-3.38888540196767	6.5683921667861	-0.51593834775944	0.605897469719882	0.999985483486012
"Gm5415"	2.24618070116262	1.375326707802	3.57355380123408	0.384862460256524	0.700339319973416	0.999985483486012
"Prim2"	385.007357005775	0.147212416609962	0.695543719002548	0.211650846076324	0.832379438389493	0.999985483486012
"1700001G17Rik"	9.67411132831123	0.468382087322173	1.68526330326667	0.277928135273743	0.78106752560048	0.999985483486012
"Rab23"	521.434098940576	0.0357299335753555	0.503227441620221	0.0710015603686422	0.943396513632332	0.999985483486012
"Bag2"	371.379562641896	0.0590590032857039	0.567976665919307	0.103981390133542	0.917184117026623	0.999985483486012
"Zfp451"	893.71355519146	0.104021185181421	0.43426124775852	0.23953596071106	0.810690015301114	0.999985483486012
"Gm15455"	75.2031612371285	0.440368012216767	0.515565535361608	0.854145558639604	0.393024343521163	0.999985483486012
"Bend6"	155.264038446655	-0.0497468273000894	1.21176720118264	-0.0410531224574641	0.967253545931134	0.999985483486012
"Dst"	6785.37225829477	0.0135360326722426	0.526372750361424	0.0257156789802441	0.979484117974968	0.999985483486012
"Ccdc115"	248.350826500733	-0.0748793628625501	0.532785889749062	-0.14054306674266	0.888230927796003	0.999985483486012
"Imp4"	679.958985445606	-0.236572597218087	0.285636279718109	-0.828230214493613	0.407540135601633	0.999985483486012
"Ptpn18"	2.19515265618227	0.0533661735324386	2.2613043583311	0.02359973054305	0.981171887087864	0.999985483486012
"Arhgef4"	30.294131989003	-0.446189768912611	1.83131642667988	-0.243644278188199	0.807506332424508	0.999985483486012
"Fam168b"	2152.47284122096	-0.00630982856091553	0.232982816571891	-0.0270828065938868	0.978393688081706	0.999985483486012
"Plekhb2"	987.449891822314	0.0271397465763944	0.185208517078101	0.14653616909502	0.883498139262954	0.999985483486012
"Hs6st1"	761.848682789631	-0.123455729340419	0.284648734528306	-0.433712552929485	0.664497189880976	0.999985483486012
"Uggt1"	1983.01606469687	0.107385384072743	0.491080093618833	0.218671832697201	0.826905692216492	0.999985483486012
"Neurl3"	28.66059286116	0.484003686721739	1.81513684079336	0.266648594113814	0.789739737075763	0.999985483486012
"Arid5a"	269.886133461725	-0.15127070424658	0.782529794830365	-0.193309833371101	0.846716325660249	0.999985483486012
"Kansl3"	1412.76200109885	-0.0824756794156618	0.342466581735808	-0.24082840140965	0.809688116213226	0.999985483486012
"Fer1l5"	121.191762029916	0.178877036278107	0.577558711480355	0.309712298892736	0.75677974919612	0.999985483486012
"Lman2l"	280.308226368445	0.0603998507336778	0.441058946762998	0.136942808159685	0.891076001540032	0.999985483486012
"Cnnm4"	322.186065070095	-0.089887136836956	0.497927965163057	-0.180522370956852	0.856742493403291	0.999985483486012
"Cnnm3"	318.69132573327	-0.0914984134495796	0.234024700091742	-0.390977590885537	0.695813800001092	0.999985483486012
"Ankrd23"	133.166283029446	0.0374958158773435	0.930301823272294	0.040305000957059	0.967849966833312	0.999985483486012
"Ankrd39"	94.5965492987264	0.161405037631236	0.462093022682392	0.349291224295706	0.726870686069407	0.999985483486012
"Sema4c"	117.368691175104	0.245990127282859	0.381495804790552	0.644804278825326	0.519054028738567	0.999985483486012
"Cox5b"	393.933499699036	-0.0990704285497101	0.194777025197105	-0.508635083883509	0.611008032458447	0.999985483486012
"Actr1b"	948.649320862008	0.0082028936769933	0.306414360448609	0.026770591512042	0.978642709381695	0.999985483486012
"Tmem131"	2589.02029498796	-0.103509687095881	0.230511953194981	-0.449042601310685	0.653400925282893	0.999985483486012
"Cnga3"	139.889246268991	-0.0768484996287955	0.949403988805719	-0.0809439401297074	0.935486535418237	0.999985483486012
"Inpp4a"	668.635724156392	0.0307443268809246	0.444565187599773	0.0691559477405656	0.944865487724045	0.999985483486012
"Coa5"	1298.31690498612	0.0602367694551067	0.227508324857613	0.264767320021393	0.791188713520681	0.999985483486012
"Unc50"	385.720898975696	-0.0232167129324787	0.432724572809132	-0.0536524024548965	0.957212105480339	0.999985483486012
"Mgat4a"	2.18138139777015	-2.38934220479261	3.53804256128383	-0.675328847351571	0.499466860108936	0.999985483486012
"4930594C11Rik"	11.4009328958439	0.342851565498853	0.931869929200965	0.367917833546612	0.712934502262751	0.999985483486012
"2010300C02Rik"	0.584052072907684	-3.97378440748253	6.40750174408489	-0.620176874887463	0.535141344571335	0.999985483486012
"Tsga10"	32.6345760136274	0.690775503133112	0.80293060203759	0.860317817480287	0.389613873852807	0.999985483486012
"Lipt1"	68.1317967659564	0.116080882314801	0.744713341512732	0.155873241211183	0.876132937888603	0.999985483486012
"Mitd1"	199.007521879746	0.133963591149128	0.398215235845031	0.336410009187245	0.736561702650318	0.999985483486012
"Mrpl30"	456.291599375238	-0.0903392823225347	0.295314141564263	-0.305909096814709	0.759673859531174	0.999985483486012
"Lyg1"	0.441119045712576	3.49577973298917	6.56568957497855	0.532431467109164	0.594427195899031	0.999985483486012
"Txndc9"	955.262210736719	-0.0747966494449152	0.368478113204545	-0.20298803854164	0.839144381451667	0.999985483486012
"Eif5b"	2775.25457410068	0.0741819588257102	0.196569983307462	0.377381925650773	0.705889796874778	0.999985483486012
"Rev1"	593.813412143132	0.0356235404011441	0.628413655826905	0.0566880430920433	0.954793698929722	0.999985483486012
"Aff3"	5.35415255936133	3.49583885250169	3.03158592662389	1.15313863341318	0.248853486663206	0.999985483486012
