""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"Xkr4"	0	0	0	0	0	0	0
"Rp1"	0	0	0	0	0	0	0
"Sox17"	0	0	0	0	0	0	0
"Mrpl15"	15.1468772506611	14.0147962187579	11.1022628665577	10.0538735056529	10.1164419300857	10.5780057600348	11.6681428130977
"Lypla1"	44.7017830515642	46.7944453813172	31.0739491494112	20.7265143460693	26.2017093392663	31.0782203869135	37.1986620407084
"Tcea1"	50.6976013578053	46.1771841235558	79.1814531536035	45.3153379719489	49.4480186393432	45.4335622157946	53.5801137615608
"Rgs20"	15.0121595846354	13.7843171828544	7.6833298787926	7.74146683884004	8.61441146708522	8.10712556550617	7.92419771502814
"Atp6v1h"	47.0651119304936	48.4029362005071	93.2086253567522	99.7484001959292	103.035221907465	89.5406939334953	82.1073061297991
"Oprk1"	0	0	0	0	0	0	0.0271193324424966
"Npbwr1"	0	0	0	0	0	0	0
"Rb1cc1"	20.2306700189036	22.4671541081122	32.154129845826	29.0999358332649	34.6821234959788	29.6131778222253	30.2912243447378
"Fam150a"	0.139142976882464	0	0	0	0	0	0
"St18"	0	0	0.040700527164813	0	0	0	0
"Pcmtd1"	16.2237200557005	14.8911351541434	19.8419270670946	13.5767995560377	16.8804650137452	15.4190421646464	24.3248749452238
"Sntg1"	0.0821982058421609	0.0813999027160721	0.345298743958156	0.0176244638330069	0.0365766770072723	0.0564856498924724	0.228512678530544
"Rrs1"	36.4916045055599	36.9453808452572	54.1794467427333	66.8066833221737	57.5855487409689	47.8698782690787	34.842158239267
"Adhfe1"	0.342294382760876	0.112990014690815	0.0798840228934097	0.44851144310553	0.507715505116556	0.261356348849401	0.162664157765953
"2610203C22Rik"	4.50689131386527	2.75384043569468	0.604231199668465	1.02802294261282	0.853397039122286	0.878605171660797	1.02530680969343
"3110035E14Rik"	1.08633685308738	0.593537338963656	0.0393404373803597	0.0803193325103835	0.0416723922853486	0.214516676874351	0.120160681964385
"Mybl1"	14.6116876486245	13.3311743403111	8.82978909507493	17.3596442408066	20.0653823039114	22.4138851683476	15.0855258844751
"Vcpip1"	12.3070671387814	13.4244863171853	18.8536372738895	15.452137032535	19.1674581288606	15.5540895673649	15.8172164273928
